cell_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
colony-21340,4,8,5,-1,-1,-1,0,0,2,0,0,8,0,1,5,-1,-1,-1,8,8,6,8,3,1,3,7,1,0,7,1,8,0,0,0,0,5,7,4,8,4,0,2,3,2,8,0,0,0
colony-21341,4,0,5,5,0,5,8,0,0,8,0,2,8,0,1,8,7,0,5,0,6,8,3,0,7,0,1,1,8,1,-1,-1,-1,0,0,1,7,0,0,-1,-1,-1,0,0,8,8,0,0
colony-21344,4,0,5,5,0,5,8,0,0,8,0,0,0,2,0,0,2,8,0,0,6,8,3,0,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,7,7,8,4,0,8,0,0,8,8,2,0
colony-21345,4,0,5,-1,-1,-1,8,3,8,8,4,0,7,0,0,0,2,8,0,0,6,8,3,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,1,-1,-1,-1,2,0,8,8,8,0
colony-21347,7,7,1,5,0,0,0,0,0,6,0,0,-1,-1,-1,2,0,3,0,3,1,0,0,0,0,0,3,0,0,1,-1,-1,-1,-1,-1,-1,7,7,0,0,7,1,1,5,8,0,5,0
colony-21348,4,5,5,5,0,5,8,0,0,8,0,2,-1,-1,-1,0,2,8,0,0,6,8,3,0,8,0,1,5,8,1,8,4,8,0,0,1,7,0,0,4,0,3,0,0,8,8,0,0
colony-21349,0,0,1,5,2,0,0,2,0,1,0,2,0,0,5,2,0,6,0,0,1,0,0,5,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,7,0,6,0,0,1,1,5,8,0,5,0
colony-21350,8,7,5,5,0,5,0,4,0,3,1,8,7,4,8,4,2,8,-1,-1,-1,8,3,3,3,4,1,3,7,1,-1,-1,-1,0,7,5,7,4,0,4,0,2,1,2,8,0,0,0
colony-21352,-1,-1,-1,5,2,5,8,3,8,8,4,0,7,0,0,7,7,6,0,0,6,8,3,0,-1,-1,-1,0,0,1,8,3,8,0,0,1,7,0,1,-1,-1,-1,2,0,8,8,8,0
colony-21353,0,0,5,5,0,5,0,0,0,0,0,0,1,4,8,0,2,8,8,8,6,8,3,5,-1,-1,-1,3,7,1,8,0,0,-1,-1,-1,7,4,3,4,7,2,2,2,8,0,0,0
colony-21354,8,2,5,5,3,5,0,4,0,3,0,1,0,0,8,0,2,8,2,8,6,8,3,3,3,4,1,3,7,1,8,0,5,-1,-1,-1,7,4,8,4,0,2,8,2,8,0,0,0
colony-21356,4,3,5,5,0,5,8,0,0,8,8,0,8,8,1,-1,-1,-1,0,0,6,8,3,0,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,7,0,0,-1,-1,-1,0,0,8,8,2,0
colony-21357,4,0,5,-1,-1,-1,8,3,8,8,0,0,7,0,0,0,2,8,3,5,6,8,3,0,-1,-1,-1,8,4,1,-1,-1,-1,0,0,1,7,0,1,4,5,5,2,6,8,8,8,0
colony-21358,8,5,0,5,0,5,8,3,8,8,0,5,2,0,0,0,2,8,0,8,6,-1,-1,-1,0,0,1,-1,-1,-1,8,3,0,0,0,1,-1,-1,-1,4,8,5,6,0,8,5,5,0
colony-21359,0,0,1,-1,-1,-1,2,0,0,7,0,0,0,4,5,2,0,3,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,7,7,8,5,7,1,1,5,8,-1,-1,-1
colony-21360,4,8,5,5,0,5,3,0,0,0,0,8,3,1,5,-1,-1,-1,-1,-1,-1,8,3,0,3,6,1,5,7,1,8,4,1,0,0,5,7,4,8,4,0,2,3,2,8,-1,-1,-1
colony-21361,4,0,5,5,2,5,-1,-1,-1,8,4,0,7,0,0,0,2,8,0,0,6,8,3,0,-1,-1,-1,0,0,1,-1,-1,-1,0,0,1,7,0,1,4,0,5,2,0,8,8,8,0
colony-21362,8,0,5,5,0,5,0,4,0,3,0,0,1,0,8,0,2,8,8,8,6,8,3,0,-1,-1,-1,-1,-1,-1,8,2,1,-1,-1,-1,7,4,0,4,0,2,0,2,8,0,0,0
colony-21363,4,0,5,-1,-1,-1,8,3,8,8,4,0,7,0,0,0,2,8,1,0,6,8,3,0,0,0,1,0,0,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,2,0,8,-1,-1,-1
colony-21364,4,0,5,-1,-1,-1,8,0,0,8,0,8,0,0,0,0,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,8,7,8,0,0,1,7,0,0,4,8,8,5,5,8,8,0,0
colony-21366,-1,-1,-1,5,0,5,-1,-1,-1,1,0,8,3,1,5,-1,-1,-1,8,8,6,8,3,8,-1,-1,-1,0,7,1,8,4,0,0,0,5,7,4,8,4,0,2,3,2,8,0,0,0
colony-21367,3,0,1,5,0,0,0,0,0,7,0,8,0,4,5,2,0,3,0,3,1,0,0,0,2,4,3,0,0,0,8,0,8,0,0,0,7,6,3,5,7,1,1,5,8,0,5,0
colony-21369,-1,-1,-1,-1,-1,-1,8,0,0,8,0,0,0,0,5,0,2,8,0,0,6,8,3,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,7,0,0,4,8,8,5,5,8,8,0,0
colony-21370,0,0,1,5,0,5,-1,-1,-1,7,0,0,-1,-1,-1,-1,-1,-1,3,3,1,0,0,0,2,4,3,-1,-1,-1,-1,-1,-1,0,4,0,7,7,0,5,7,1,1,5,8,0,5,0
colony-21371,4,0,5,5,0,5,8,0,0,8,0,8,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,8,0,1,-1,-1,-1,-1,-1,-1,7,0,0,4,8,8,-1,-1,-1,8,0,0
colony-21372,4,0,5,5,0,5,8,0,0,8,0,6,0,2,0,0,2,8,0,0,6,8,3,0,1,0,1,0,0,1,-1,-1,-1,0,0,1,7,7,0,4,0,8,0,0,8,8,2,0
colony-21373,4,0,5,-1,-1,-1,8,0,8,8,0,0,0,0,0,-1,-1,-1,0,0,6,8,3,7,0,0,1,0,0,1,-1,-1,-1,0,0,1,7,0,0,4,8,8,0,0,4,8,0,0
colony-21375,8,2,5,5,8,5,0,4,0,-1,-1,-1,0,1,8,0,2,8,8,8,6,8,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,5,-1,-1,-1,4,1,2,8,2,8,0,0,0
colony-21376,4,0,5,-1,-1,-1,8,3,8,8,1,3,7,8,5,5,2,8,0,0,6,-1,-1,-1,-1,-1,-1,0,4,1,8,3,8,0,0,5,7,0,1,4,5,5,2,6,8,8,8,0
colony-21377,-1,-1,-1,-1,-1,-1,8,3,8,8,1,3,7,8,5,5,2,8,0,0,6,8,3,0,-1,-1,-1,0,7,1,-1,-1,-1,0,0,1,7,0,1,4,5,5,2,6,8,8,8,0
colony-21378,0,0,1,-1,-1,-1,0,0,0,6,0,0,5,4,5,2,0,3,0,3,1,0,0,1,-1,-1,-1,0,6,1,-1,-1,-1,-1,-1,-1,7,7,0,0,7,1,1,5,8,0,5,0
colony-21379,8,0,5,-1,-1,-1,0,4,0,3,0,0,1,0,8,-1,-1,-1,8,8,6,8,3,0,3,4,1,3,7,1,8,2,1,-1,-1,-1,7,4,0,4,0,2,0,2,8,-1,-1,-1
colony-21380,-1,-1,-1,5,8,8,0,0,0,0,0,0,0,7,5,2,0,3,0,3,1,0,0,5,-1,-1,-1,2,0,0,8,0,0,0,0,0,7,7,1,0,7,1,1,5,8,0,5,0
colony-21381,0,0,5,5,0,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,6,8,3,5,3,4,1,3,7,1,8,0,0,-1,-1,-1,7,4,3,4,7,2,-1,-1,-1,8,0,0
colony-21382,4,0,5,-1,-1,-1,8,3,8,8,4,0,-1,-1,-1,0,2,8,0,0,6,8,3,6,-1,-1,-1,0,0,1,-1,-1,-1,0,0,1,7,0,1,4,0,5,2,0,8,8,3,0
colony-21384,4,0,5,5,2,5,8,3,8,8,4,0,7,0,8,-1,-1,-1,1,0,6,8,3,0,0,0,1,1,0,1,8,3,8,0,0,1,7,0,1,4,0,5,2,0,8,8,8,0
colony-21387,1,0,5,5,0,5,8,0,0,0,0,0,1,0,6,0,2,8,8,8,6,8,3,8,3,0,1,0,4,1,8,0,0,1,4,5,7,4,3,4,0,2,3,2,8,0,0,0
colony-21388,8,2,5,-1,-1,-1,0,4,0,3,0,0,0,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,1,3,7,1,-1,-1,-1,0,6,5,7,4,8,4,1,2,8,2,8,0,0,0
colony-21392,0,0,5,5,0,5,0,4,0,0,0,0,1,4,8,0,2,8,8,8,6,-1,-1,-1,3,4,1,3,7,1,8,0,0,0,0,0,7,4,3,4,7,2,2,2,8,8,0,0
colony-21394,3,2,5,-1,-1,-1,0,0,0,-1,-1,-1,0,8,8,0,2,8,8,8,6,8,3,5,3,4,1,3,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,2,0,2,8,-1,-1,-1
