,identifier,noise,method,var_name,var_value
304,c30_noise0.0_rep16,0.0,LAML2,est_comp_mutRate,0.10835755278483628
305,c30_noise0.0_rep16,0.0,LAML2,manually_rescaled_lambda,0.08253721248017382
306,c30_noise0.0_rep17,0.0,LAML1,phi,0.09198649422756486
307,c30_noise0.0_rep17,0.0,LAML1,nu,4.026747858172077e-05
308,c30_noise0.0_rep17,0.0,LAML1,llh,2231.440834749452
309,c30_noise0.0_rep17,0.0,LAML1,lambda,0.09448976850483122
310,c30_noise0.0_rep17,0.0,LAML1,true_treeHeight,10.442610822283658
311,c30_noise0.0_rep17,0.0,LAML1,est_treeHeight,9.999999940336355
312,c30_noise0.0_rep17,0.0,LAML1,true_mutRate,0.10376480961840336
313,c30_noise0.0_rep17,0.0,LAML1,est_comp_mutRate,0.10835755303583489
314,c30_noise0.0_rep17,0.0,LAML1,manually_rescaled_lambda,0.07440139252348915
315,c30_noise0.0_rep17,0.0,LAML2,phi,0.0917526287224763
316,c30_noise0.0_rep17,0.0,LAML2,nu,0.0007506794218624234
317,c30_noise0.0_rep17,0.0,LAML2,rho,0.9999999999999944
318,c30_noise0.0_rep17,0.0,LAML2,lambda,0.09432193314496304
319,c30_noise0.0_rep17,0.0,LAML2,true_treeHeight,10.442610822283658
320,c30_noise0.0_rep17,0.0,LAML2,est_treeHeight,9.999999960399329
321,c30_noise0.0_rep17,0.0,LAML2,true_mutRate,0.10376480961840336
322,c30_noise0.0_rep17,0.0,LAML2,est_comp_mutRate,0.10835755281843741
323,c30_noise0.0_rep17,0.0,LAML2,manually_rescaled_lambda,0.0742692386968213
324,c30_noise0.0_rep18,0.0,LAML1,phi,0.1066665830169416
325,c30_noise0.0_rep18,0.0,LAML1,nu,1.0084102669896213e-06
326,c30_noise0.0_rep18,0.0,LAML1,llh,2147.913136856386
327,c30_noise0.0_rep18,0.0,LAML1,lambda,0.10430139105895078
328,c30_noise0.0_rep18,0.0,LAML1,true_treeHeight,14.114630898681156
329,c30_noise0.0_rep18,0.0,LAML1,est_treeHeight,9.999999923165781
330,c30_noise0.0_rep18,0.0,LAML1,true_mutRate,0.07676966770661992
331,c30_noise0.0_rep18,0.0,LAML1,est_comp_mutRate,0.10835755322189104
332,c30_noise0.0_rep18,0.0,LAML1,manually_rescaled_lambda,0.082127079573977
333,c30_noise0.0_rep18,0.0,LAML2,phi,0.10666660603369654
334,c30_noise0.0_rep18,0.0,LAML2,nu,3.251972135075004e-07
335,c30_noise0.0_rep18,0.0,LAML2,rho,0.999999973691773
336,c30_noise0.0_rep18,0.0,LAML2,lambda,0.10424509909016715
337,c30_noise0.0_rep18,0.0,LAML2,true_treeHeight,14.114630898681156
338,c30_noise0.0_rep18,0.0,LAML2,est_treeHeight,9.999999917855803
339,c30_noise0.0_rep18,0.0,LAML2,true_mutRate,0.07676966770661992
340,c30_noise0.0_rep18,0.0,LAML2,est_comp_mutRate,0.10835755327942866
341,c30_noise0.0_rep18,0.0,LAML2,manually_rescaled_lambda,0.082082755189108
342,c30_noise0.0_rep19,0.0,LAML1,phi,0.09699981216184472
343,c30_noise0.0_rep19,0.0,LAML1,nu,1.5281518857732076e-06
344,c30_noise0.0_rep19,0.0,LAML1,llh,1934.0262720176074
345,c30_noise0.0_rep19,0.0,LAML1,lambda,0.10099893401683173
346,c30_noise0.0_rep19,0.0,LAML1,true_treeHeight,14.228975847171915
347,c30_noise0.0_rep19,0.0,LAML1,est_treeHeight,9.999999921020123
348,c30_noise0.0_rep19,0.0,LAML1,true_mutRate,0.07615274180880058
349,c30_noise0.0_rep19,0.0,LAML1,est_comp_mutRate,0.10835755324514085
350,c30_noise0.0_rep19,0.0,LAML1,manually_rescaled_lambda,0.07952671969829271
