,Dim_0,Dim_1
internal_999,-2049.1155560329967,-1487.6228774958956
internal_1003,-2103.4022176629674,-1376.935607610656
internal_1007,-2039.4575015625542,-1469.403765738199
internal_1009,-1996.0160611355107,-1341.6499778659881
internal_1008,-2021.9446793710438,-1536.8403642102207
internal_1011,-2047.3525644594974,-1250.618874563407
internal_1012,-2137.21470789654,-1278.0531180609332
internal_1033,-1810.354052949118,-1492.6013861333147
internal_1039,-1814.276870949386,-1588.2397630503517
internal_1045,-1944.7234663497854,-1595.0057491092143
internal_1026,-2049.0220471572916,-1505.5022337538783
internal_1023,-2095.620872012822,-1305.2687427898084
internal_1028,-1993.9083852440451,-1313.4102283120656
internal_1137,-1759.501676306316,-1195.694772000312
internal_1202,-1822.0003579520778,-1129.4467830902424
internal_1207,-1772.657979807505,-1207.6086294454012
internal_1225,-1774.9693973053575,-1166.6341694299722
internal_1210,-1800.6912608059656,-1221.4333092752108
internal_1215,-1759.6498443905557,-1212.8086059907478
internal_1194,-2093.5808013669466,-1384.0665275548745
